NOT LS; nlkp_i_3; 344.421; 19800; 2745; 16.189; 
NOT LS; nlkp_i_3; 344.51; 19800; 16826; 100.953; 
NOT LS; nlkp_i_3; 344.512; 19799; 18863; 112.608; 
NOT LS; nlkp_i_3; 344.51; 19800; 4350; 25.735; 
NOT LS; nlkp_i_3; 344.456; 19800; 12232; 73.173; 
NOT LS; nlkp_i_3; 344.447; 19800; 14846; 89.058; 
NOT LS; nlkp_i_3; 344.512; 19799; 6112; 36.763; 
NOT LS; nlkp_i_3; 344.268; 19795; 15165; 90.128; 
NOT LS; nlkp_i_3; 344.468; 19799; 16384; 97.633; 
NOT LS; nlkp_i_3; 344.484; 19798; 12398; 73.372; 
Best; nlkp_i_3; 344.512; 19799; 18863; 112.608; 

